Bug ID,App Version,Module,Bug Description,Severity,Status,Occurrences,Time to Fix (days),Release Date,Report Date
BUG-1209,2.0.0,Payment Gateway,Invoice PDF generated with incorrect tax amounts,High,Reopened,18,50.8,2023-11-05,2023-11-08
BUG-1280,2.1.0,Notification System,SMS notifications sent to unverified phone numbers,Medium,Fixed,15,8.6,2024-02-28,2024-04-12
BUG-1033,1.0.0,Notification System,Real-time notifications delayed by 5 minutes during peak hours,Low,Fixed,5,3.5,2023-01-15,2023-02-11
BUG-1210,2.0.0,Authentication,Login page freezes on slow network connections,High,Reopened,11,38.8,2023-11-05,2023-12-22
BUG-1093,1.1.0,API Integration,API versioning not enforced for deprecated endpoints,High,Fixed,27,16.3,2023-04-10,2023-04-10
BUG-1084,1.1.0,Notification System,Bulk notification job times out for user base over 50k,Low,Fixed,5,3.4,2023-04-10,2023-06-17
BUG-1329,2.2.0,Authentication,JWT token not invalidated on logout,High,Fixed,31,19.8,2024-06-15,2024-06-28
BUG-1094,1.1.0,Notification System,Notification preferences not respected for critical alerts,Medium,Fixed,6,7.7,2023-04-10,2023-06-23
BUG-1266,2.0.0,Dashboard,KPI cards show NaN when denominator is zero,High,Fixed,15,16.4,2023-11-05,2024-01-29
BUG-1126,1.2.0,Search Engine,Filters not applied when navigating back from detail page,High,Fixed,10,24.3,2023-07-20,2023-08-20
BUG-1009,1.0.0,Reporting,Comparative report percentages exceed 100% due to rounding,Medium,Fixed,12,5.1,2023-01-15,2023-01-23
BUG-1361,2.2.0,Data Analytics,Funnel visualization missing intermediate steps,Low,Fixed,3,3.7,2024-06-15,2024-08-08
BUG-1056,1.0.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,High,Reopened,12,50.3,2023-01-15,2023-02-14
BUG-1072,1.1.0,User Profile,Profile deletion does not remove associated data,Low,Open,2,12.2,2023-04-10,2023-06-19
BUG-1132,1.2.0,Payment Gateway,3D Secure authentication not triggered for high-value orders,High,Fixed,23,9.3,2023-07-20,2023-08-27
BUG-1042,1.0.0,Search Engine,Filters not applied when navigating back from detail page,Medium,Fixed,4,10.2,2023-01-15,2023-03-01
BUG-1278,2.1.0,User Profile,Profile completeness percentage calculated incorrectly,Low,Open,1,11.7,2024-02-28,2024-04-02
BUG-1376,2.2.0,Data Analytics,Export to CSV truncates rows beyond 10000 records,Medium,Fixed,11,9.0,2024-06-15,2024-07-23
BUG-1231,2.0.0,Authentication,Remember me functionality fails after browser restart,High,Fixed,15,17.5,2023-11-05,2024-01-30
BUG-1385,2.2.0,Dashboard,Widget layout not saved across browser sessions,Low,Fixed,1,4.1,2024-06-15,2024-07-23
BUG-1077,1.1.0,Payment Gateway,Stripe webhook not received for failed payments,High,Fixed,34,29.4,2023-04-10,2023-04-29
BUG-1015,1.0.0,Dashboard,Dashboard loads blank on first visit after cache clear,Medium,Fixed,13,6.6,2023-01-15,2023-01-22
BUG-1391,2.2.0,Reporting,Comparative report percentages exceed 100% due to rounding,Low,Fixed,5,1.2,2024-06-15,2024-06-18
BUG-1271,2.1.0,Reporting,Report query timeout causes partial data to be displayed,Low,Fixed,5,1.2,2024-02-28,2024-05-22
BUG-1000,1.0.0,Authentication,Remember me functionality fails after browser restart,Medium,Reopened,6,17.1,2023-01-15,2023-01-28
BUG-1396,2.2.0,Authentication,OAuth2 callback URL mismatch causing login failure,High,Fixed,36,16.6,2024-06-15,2024-08-13
BUG-1114,1.1.0,Dashboard,Dashboard sharing link expires too quickly,High,Fixed,34,8.4,2023-04-10,2023-06-02
BUG-1225,2.0.0,Data Analytics,Custom report builder crashes on nested group-by,High,Fixed,13,27.9,2023-11-05,2023-12-16
BUG-1262,2.0.0,Data Analytics,Metric comparison period calculation uses wrong formula,High,Fixed,28,22.3,2023-11-05,2023-12-22
BUG-1104,1.1.0,Dashboard,Dashboard sharing link expires too quickly,Low,Fixed,1,4.3,2023-04-10,2023-04-25
BUG-1395,2.2.0,File Upload,Upload progress bar resets to zero on network interruption,Low,Fixed,4,2.8,2024-06-15,2024-06-24
BUG-1193,1.2.0,File Upload,Upload progress bar resets to zero on network interruption,Medium,Fixed,10,9.1,2023-07-20,2023-09-07
BUG-1261,2.0.0,API Integration,API timeout set to 30s but client receives 10s error,High,Reopened,37,42.0,2023-11-05,2023-11-17
BUG-1057,1.0.0,API Integration,Webhook signature verification fails intermittently,High,Reopened,23,47.4,2023-01-15,2023-01-20
BUG-1232,2.0.0,Notification System,Notification history not paginated correctly,High,Fixed,32,25.9,2023-11-05,2023-12-22
BUG-1116,1.1.0,API Integration,Authentication token refresh race condition causes 401,Medium,Fixed,3,13.4,2023-04-10,2023-05-18
BUG-1113,1.1.0,User Profile,Address fields accept invalid postal codes,High,Fixed,12,16.5,2023-04-10,2023-05-22
BUG-1342,2.2.0,Reporting,Chart annotations not included in exported images,High,Fixed,9,21.5,2024-06-15,2024-08-27
BUG-1158,1.2.0,Data Analytics,Custom report builder crashes on nested group-by,Medium,Fixed,3,5.8,2023-07-20,2023-09-19
BUG-1141,1.2.0,Reporting,Report query timeout causes partial data to be displayed,Medium,Open,13,19.3,2023-07-20,2023-07-23
BUG-1381,2.2.0,File Upload,Download speed throttled unintentionally for free tier users,Low,Fixed,4,5.6,2024-06-15,2024-08-27
BUG-1055,1.0.0,User Profile,Profile picture upload fails for images larger than 2MB,Low,Fixed,5,1.5,2023-01-15,2023-02-07
BUG-1076,1.1.0,Data Analytics,Dashboard metrics show incorrect date range on load,Low,Fixed,3,2.3,2023-04-10,2023-05-11
BUG-1025,1.0.0,Payment Gateway,Card validation fails for valid Amex cards,High,Reopened,35,34.7,2023-01-15,2023-01-15
BUG-1082,1.1.0,Data Analytics,Funnel visualization missing intermediate steps,Low,Reopened,2,8.6,2023-04-10,2023-07-03
